aar;kbh_stad;kbh_amt;frederiksborg_amt;holbaek_amt;sorae_amt;praesteoe_amt;bornholms_amt;odense_amt;svendborg_amt;maribo_amt;aalborg_amt;hjoerring_amt;thisted_amt;viborg_amt;aarhus_amt;randers_amt;ribe_amt;ringkoebing_amt;vejle_amt;jysk_fynsk_jernbane;sjaelland_oeerne_jernbane;total_eks_flaesk;eks_flaesk_england 
1837;622;17426;21330;19229;19465;22739;6754;18328;16099;21349;6684;6811;4198;6383;11668;7968;8034;10092;10112;NA;NA;NA;NA
1838;739;14180;14384;14754;15893;18516;4113;9498;9123;16701;2761;3316;2560;3410;6807;4708;4062;7149;4925;NA;NA;NA;NA
1861;871;18565;22533;26551;20678;28664;6497;22883;18905;22631;11232;11474;4758;12121;16374;14241;12493;14961;14496;NA;NA;NA;NA
1864;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4813772;1526874
1865;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13141286;8257657
1866;1436;22297;25907;36394;27507;33422;5958;25498;24052;23074;14866;16211;5891;17119;24639;17806;15607;20619;23209;244,8;173,25;9111778;5026843
1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;301,82;173,25;4506787;4207489
1868;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;301,82;173,25;7998171;4761394
1869;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;415,26;173,25;8930500;4925295
1870;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;496,68;266,79;16354286;10604798
1871;1549;24727;29388;40434;30220;36103;7506;30177;27921;25157;18807;22843;7066;20611;28754;20588;19396;24187;26987;496,68;266,79;12788784;7678806
1872;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;608,61;266,79;9335936;5906816
1873;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;608,61;266,79;12087109;6968780
1874;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;608,61;352,43;12878578;7762475
1875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;729,13;433,91;10185839;4586606
1876;872;24011;27889;43295;34878;37021;5820;32353;27943;23282;28867;30938;9724;28370;34204;2364;24318;30639;35597;806,49;433,91;7512473;3132849
