land;aar;eks_flaesk
tyskland;1864;742321
tyskland;1865;2055070
tyskland;1866;1728640
tyskland;1867;981566
tyskland;1868;1174818
tyskland;1869;1695949
tyskland;1870;1861530
tyskland;1871;1624918
tyskland;1872;1120102
tyskland;1873;3123086
tyskland;1874;1786957
tyskland;1875;1747061
tyskland;1876;1744100
tyskland;1877;1781723
tyskland;1878;1325347
tyskland;1879;757605
tyskland;1880;886036
tyskland;1881;979164
tyskland;1882;1187302
tyskland;1883;1556584
tyskland;1884;3733551
tyskland;1885;7183553
tyskland;1886;5538959
tyskland;1887;5137167
tyskland;1888;101936
tyskland;1889;49822
tyskland;1890;1086464
tyskland;1891;797584
tyskland;1892;835829
tyskland;1893;442060
tyskland;1894;772352
england;1864;1526874
england;1865;8257657
england;1866;5026843
england;1867;4207489
england;1868;4761394
england;1869;4925295
england;1870;10604798
england;1871;7678806
england;1872;5906816
england;1873;6968780
england;1874;7762475
england;1875;4586606
england;1876;3132849
england;1877;4076305
england;1878;5685789
england;1879;4961005
england;1880;5822809
england;1881;4517211
england;1882;6772807
england;1883;10554496
england;1884;20686608
england;1885;20213659
england;1886;27588055
england;1887;40424230
england;1888;79544118
england;1889;68150795
england;1890;56293109
england;1891;67089981
england;1892;76735234
england;1893;84650260
england;1894;90564527
norge;1864;1339103
norge;1865;1595280
norge;1866;1600330
norge;1867;1607077
norge;1868;1378707
norge;1869;1224025
norge;1870;1549893
norge;1871;2149416
norge;1872;161075
norge;1873;876746
norge;1874;1048013
norge;1875;1345499
norge;1876;873856
norge;1877;1102413
norge;1878;454886
norge;1879;304492
norge;1880;305528
norge;1881;750991
norge;1882;1432625
norge;1883;1316784
norge;1884;1793622
norge;1885;700475
norge;1886;632682
norge;1887;1134348
norge;1888;2602033
norge;1889;543676
norge;1890;387088
norge;1891;313848
norge;1892;737897
norge;1893;775665
norge;1894;754923
sverige;1864;553922
sverige;1865;894292
sverige;1866;437948
sverige;1867;301627
sverige;1868;NA
sverige;1869;793244
sverige;1870;2036404
sverige;1871;1073985
sverige;1872;845979
sverige;1873;856206
sverige;1874;2010239
sverige;1875;2328279
sverige;1876;1517194
sverige;1877;2059139
sverige;1878;1940117
sverige;1879;2851814
sverige;1880;4392632
sverige;1881;3754724
sverige;1882;1921966
sverige;1883;6888716
sverige;1884;4257178
sverige;1885;3032807
sverige;1886;2365369
sverige;1887;2197526
sverige;1888;189265
sverige;1889;248186
sverige;1890;757452
sverige;1891;1078666
sverige;1892;202420
sverige;1893;447754
sverige;1894;170995
andre_lande;1864;636552
andre_lande;1865;338987
andre_lande;1866;317525
andre_lande;1867;409028
andre_lande;1868;683252
andre_lande;1869;291987
andre_lande;1870;300661
andre_lande;1871;261659
andre_lande;1872;301963
andre_lande;1873;262291
andre_lande;1874;270894
andre_lande;1875;178394
andre_lande;1876;249474
andre_lande;1877;201717
andre_lande;1878;148372
andre_lande;1879;309430
andre_lande;1880;215902
andre_lande;1881;192305
andre_lande;1882;195483
andre_lande;1883;215159
andre_lande;1884;180346
andre_lande;1885;359288
andre_lande;1886;95759
andre_lande;1887;131744
andre_lande;1888;1119131
andre_lande;1889;545846
andre_lande;1890;640157
andre_lande;1891;209250
andre_lande;1892;161780
andre_lande;1893;119985
andre_lande;1894;80660
